Unnamed: 0,formation_energy,elem_frac,elem_list,energy,formula,magnetic_moment,spin_index,num_p,num_d,num_f,atomic_rad,atomic_vol,covalent_rad,dipole,eaffinity,num_electrons,Unnamed: 17,elem_in_site_order,elem_by_formula_order,A1,A2,B1,B2,X
0,-1.152919513,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Co, Element Ge, Element Te, Element P]",-46.78203613,Cr1Co1Ge1Te6P1,2.816,1,4,9,0,"[130.0, 125.0, 137.0, 160.0, 128.0]","[7.23, 6.7, 13.6, 20.5, 17.0]","[122.0, 111.00000000000001, 121.0, 136.0, 111.00000000000001]","[78.4, 57.71, 39.43, 37.0, 24.93]","[0.6659999999999999, 0.66225646, 1.232712, 1.9708759999999999, 0.746607]","[24, 27, 32, 52, 15]",,"['Cr', 'Co', 'Ge', 'P', 'Te']","['Cr', 'Co', 'Ge', 'Te', 'P']","{'atomic_rad': 130.0, 'atomic_vol': 7.23, 'covalent_rad': 122.0, 'dipole': 78.4, 'eaffinity': 0.6659999999999999, 'num_electrons': 24}","{'atomic_rad': 125.0, 'atomic_vol': 6.7, 'covalent_rad': 111.00000000000001, 'dipole': 57.71, 'eaffinity': 0.66225646, 'num_electrons': 27}","{'atomic_rad': 137.0, 'atomic_vol': 13.6, 'covalent_rad': 121.0, 'dipole': 39.43, 'eaffinity': 1.232712, 'num_electrons': 32}","{'atomic_rad': 128.0, 'atomic_vol': 17.0, 'covalent_rad': 111.00000000000001, 'dipole': 24.93, 'eaffinity': 0.746607, 'num_electrons': 15}","{'atomic_rad': 160.0, 'atomic_vol': 20.5, 'covalent_rad': 136.0, 'dipole': 37.0, 'eaffinity': 1.9708759999999999, 'num_electrons': 52}"
1,-1.32531098,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Ge: 0.2}, {Element Te: 0.6}]","[Element Cr, Element Co, Element Ge, Element Te]",-46.17199237,Cr1Co1Ge2Te6,3.142,1,4,9,0,"[130.0, 125.0, 137.0, 160.0]","[7.23, 6.7, 13.6, 20.5]","[122.0, 111.00000000000001, 121.0, 136.0]","[78.4, 57.71, 39.43, 37.0]","[0.6659999999999999, 0.66225646, 1.232712, 1.9708759999999999]","[24, 27, 32, 52]",,"['Cr', 'Co', 'Ge', 'Ge', 'Te']","['Cr', 'Co', 'Ge', 'Te']","{'atomic_rad': 130.0, 'atomic_vol': 7.23, 'covalent_rad': 122.0, 'dipole': 78.4, 'eaffinity': 0.6659999999999999, 'num_electrons': 24}","{'atomic_rad': 125.0, 'atomic_vol': 6.7, 'covalent_rad': 111.00000000000001, 'dipole': 57.71, 'eaffinity': 0.66225646, 'num_electrons': 27}","{'atomic_rad': 137.0, 'atomic_vol': 13.6, 'covalent_rad': 121.0, 'dipole': 39.43, 'eaffinity': 1.232712, 'num_electrons': 32}","{'atomic_rad': 137.0, 'atomic_vol': 13.6, 'covalent_rad': 121.0, 'dipole': 39.43, 'eaffinity': 1.232712, 'num_electrons': 32}","{'atomic_rad': 160.0, 'atomic_vol': 20.5, 'covalent_rad': 136.0, 'dipole': 37.0, 'eaffinity': 1.9708759999999999, 'num_electrons': 52}"
2,-1.458288025,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Si: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}]","[Element Cr, Element Co, Element Si, Element Ge, Element Te]",-47.1075897,Cr1Co1Si1Ge1Te6,3.149,1,4,9,0,"[130.0, 125.0, 132.0, 137.0, 160.0]","[7.23, 6.7, 12.1, 13.6, 20.5]","[122.0, 111.00000000000001, 115.99999999999999, 121.0, 136.0]","[78.4, 57.71, 37.31, 39.43, 37.0]","[0.6659999999999999, 0.66225646, 1.3895211, 1.232712, 1.9708759999999999]","[24, 27, 14, 32, 52]",,"['Cr', 'Co', 'Si', 'Ge', 'Te']","['Cr', 'Co', 'Si', 'Ge', 'Te']","{'atomic_rad': 130.0, 'atomic_vol': 7.23, 'covalent_rad': 122.0, 'dipole': 78.4, 'eaffinity': 0.6659999999999999, 'num_electrons': 24}","{'atomic_rad': 125.0, 'atomic_vol': 6.7, 'covalent_rad': 111.00000000000001, 'dipole': 57.71, 'eaffinity': 0.66225646, 'num_electrons': 27}","{'atomic_rad': 132.0, 'atomic_vol': 12.1, 'covalent_rad': 115.99999999999999, 'dipole': 37.31, 'eaffinity': 1.3895211, 'num_electrons': 14}","{'atomic_rad': 137.0, 'atomic_vol': 13.6, 'covalent_rad': 121.0, 'dipole': 39.43, 'eaffinity': 1.232712, 'num_electrons': 32}","{'atomic_rad': 160.0, 'atomic_vol': 20.5, 'covalent_rad': 136.0, 'dipole': 37.0, 'eaffinity': 1.9708759999999999, 'num_electrons': 52}"
3,-1.389637388,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Co, Element Si, Element Te, Element P]",-47.82137429,Cr1Co1Si1Te6P1,2.841,0,4,9,0,"[130.0, 125.0, 132.0, 160.0, 128.0]","[7.23, 6.7, 12.1, 20.5, 17.0]","[122.0, 111.00000000000001, 115.99999999999999, 136.0, 111.00000000000001]","[78.4, 57.71, 37.31, 37.0, 24.93]","[0.6659999999999999, 0.66225646, 1.3895211, 1.9708759999999999, 0.746607]","[24, 27, 14, 52, 15]",,"['Cr', 'Co', 'Si', 'P', 'Te']","['Cr', 'Co', 'Si', 'Te', 'P']","{'atomic_rad': 130.0, 'atomic_vol': 7.23, 'covalent_rad': 122.0, 'dipole': 78.4, 'eaffinity': 0.6659999999999999, 'num_electrons': 24}","{'atomic_rad': 125.0, 'atomic_vol': 6.7, 'covalent_rad': 111.00000000000001, 'dipole': 57.71, 'eaffinity': 0.66225646, 'num_electrons': 27}","{'atomic_rad': 132.0, 'atomic_vol': 12.1, 'covalent_rad': 115.99999999999999, 'dipole': 37.31, 'eaffinity': 1.3895211, 'num_electrons': 14}","{'atomic_rad': 128.0, 'atomic_vol': 17.0, 'covalent_rad': 111.00000000000001, 'dipole': 24.93, 'eaffinity': 0.746607, 'num_electrons': 15}","{'atomic_rad': 160.0, 'atomic_vol': 20.5, 'covalent_rad': 136.0, 'dipole': 37.0, 'eaffinity': 1.9708759999999999, 'num_electrons': 52}"
4,-1.62026827,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Si: 0.2}, {Element Te: 0.6}]","[Element Cr, Element Co, Element Si, Element Te]",-48.07219023,Cr1Co1Si2Te6,3.156,1,4,9,0,"[130.0, 125.0, 132.0, 160.0]","[7.23, 6.7, 12.1, 20.5]","[122.0, 111.00000000000001, 115.99999999999999, 136.0]","[78.4, 57.71, 37.31, 37.0]","[0.6659999999999999, 0.66225646, 1.3895211, 1.9708759999999999]","[24, 27, 14, 52]",,"['Cr', 'Co', 'Si', 'Si', 'Te']","['Cr', 'Co', 'Si', 'Te']","{'atomic_rad': 130.0, 'atomic_vol': 7.23, 'covalent_rad': 122.0, 'dipole': 78.4, 'eaffinity': 0.6659999999999999, 'num_electrons': 24}","{'atomic_rad': 125.0, 'atomic_vol': 6.7, 'covalent_rad': 111.00000000000001, 'dipole': 57.71, 'eaffinity': 0.66225646, 'num_electrons': 27}","{'atomic_rad': 132.0, 'atomic_vol': 12.1, 'covalent_rad': 115.99999999999999, 'dipole': 37.31, 'eaffinity': 1.3895211, 'num_electrons': 14}","{'atomic_rad': 132.0, 'atomic_vol': 12.1, 'covalent_rad': 115.99999999999999, 'dipole': 37.31, 'eaffinity': 1.3895211, 'num_electrons': 14}","{'atomic_rad': 160.0, 'atomic_vol': 20.5, 'covalent_rad': 136.0, 'dipole': 37.0, 'eaffinity': 1.9708759999999999, 'num_electrons': 52}"
5,-0.641226036,"[{Element Cr: 0.1}, {Element Co: 0.1}, {Element Te: 0.6}, {Element P: 0.2}]","[Element Cr, Element Co, Element Te, Element P]",-47.05277788,Cr1Co1Te6P2,2.603,1,4,9,0,"[130.0, 125.0, 160.0, 128.0]","[7.23, 6.7, 20.5, 17.0]","[122.0, 111.00000000000001, 136.0, 111.00000000000001]","[78.4, 57.71, 37.0, 24.93]","[0.6659999999999999, 0.66225646, 1.9708759999999999, 0.746607]","[24, 27, 52, 15]",,"['Cr', 'Co', 'P', 'P', 'Te']","['Cr', 'Co', 'Te', 'P']","{'atomic_rad': 130.0, 'atomic_vol': 7.23, 'covalent_rad': 122.0, 'dipole': 78.4, 'eaffinity': 0.6659999999999999, 'num_electrons': 24}","{'atomic_rad': 125.0, 'atomic_vol': 6.7, 'covalent_rad': 111.00000000000001, 'dipole': 57.71, 'eaffinity': 0.66225646, 'num_electrons': 27}","{'atomic_rad': 128.0, 'atomic_vol': 17.0, 'covalent_rad': 111.00000000000001, 'dipole': 24.93, 'eaffinity': 0.746607, 'num_electrons': 15}","{'atomic_rad': 128.0, 'atomic_vol': 17.0, 'covalent_rad': 111.00000000000001, 'dipole': 24.93, 'eaffinity': 0.746607, 'num_electrons': 15}","{'atomic_rad': 160.0, 'atomic_vol': 20.5, 'covalent_rad': 136.0, 'dipole': 37.0, 'eaffinity': 1.9708759999999999, 'num_electrons': 52}"
6,-0.756969683,"[{Element Cr: 0.1}, {Element Cu: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Cu, Element Ge, Element Te, Element P]",-43.00409196,Cr1Cu1Ge1Te6P1,2.839,0,4,11,0,"[130.0, 128.0, 137.0, 160.0, 128.0]","[7.23, 7.1, 13.6, 20.5, 17.0]","[122.0, 112.00000000000001, 121.0, 136.0, 111.00000000000001]","[78.4, 46.5, 39.43, 37.0, 24.93]","[0.6659999999999999, 1.235, 1.232712, 1.9708759999999999, 0.746607]","[24, 29, 32, 52, 15]",,"['Cr', 'Cu', 'Ge', 'P', 'Te']","['Cr', 'Cu', 'Ge', 'Te', 'P']","{'atomic_rad': 130.0, 'atomic_vol': 7.23, 'covalent_rad': 122.0, 'dipole': 78.4, 'eaffinity': 0.6659999999999999, 'num_electrons': 24}","{'atomic_rad': 128.0, 'atomic_vol': 7.1, 'covalent_rad': 112.00000000000001, 'dipole': 46.5, 'eaffinity': 1.235, 'num_electrons': 29}","{'atomic_rad': 137.0, 'atomic_vol': 13.6, 'covalent_rad': 121.0, 'dipole': 39.43, 'eaffinity': 1.232712, 'num_electrons': 32}","{'atomic_rad': 128.0, 'atomic_vol': 17.0, 'covalent_rad': 111.00000000000001, 'dipole': 24.93, 'eaffinity': 0.746607, 'num_electrons': 15}","{'atomic_rad': 160.0, 'atomic_vol': 20.5, 'covalent_rad': 136.0, 'dipole': 37.0, 'eaffinity': 1.9708759999999999, 'num_electrons': 52}"
7,-0.81689044,"[{Element Cr: 0.1}, {Element Cu: 0.1}, {Element Ge: 0.2}, {Element Te: 0.6}]","[Element Cr, Element Cu, Element Ge, Element Te]",-42.28157749,Cr1Cu1Ge2Te6,2.873,0,4,11,0,"[130.0, 128.0, 137.0, 160.0]","[7.23, 7.1, 13.6, 20.5]","[122.0, 112.00000000000001, 121.0, 136.0]","[78.4, 46.5, 39.43, 37.0]","[0.6659999999999999, 1.235, 1.232712, 1.9708759999999999]","[24, 29, 32, 52]",,"['Cr', 'Cu', 'Ge', 'Ge', 'Te']","['Cr', 'Cu', 'Ge', 'Te']","{'atomic_rad': 130.0, 'atomic_vol': 7.23, 'covalent_rad': 122.0, 'dipole': 78.4, 'eaffinity': 0.6659999999999999, 'num_electrons': 24}","{'atomic_rad': 128.0, 'atomic_vol': 7.1, 'covalent_rad': 112.00000000000001, 'dipole': 46.5, 'eaffinity': 1.235, 'num_electrons': 29}","{'atomic_rad': 137.0, 'atomic_vol': 13.6, 'covalent_rad': 121.0, 'dipole': 39.43, 'eaffinity': 1.232712, 'num_electrons': 32}","{'atomic_rad': 137.0, 'atomic_vol': 13.6, 'covalent_rad': 121.0, 'dipole': 39.43, 'eaffinity': 1.232712, 'num_electrons': 32}","{'atomic_rad': 160.0, 'atomic_vol': 20.5, 'covalent_rad': 136.0, 'dipole': 37.0, 'eaffinity': 1.9708759999999999, 'num_electrons': 52}"
8,-0.929483655,"[{Element Cr: 0.1}, {Element Cu: 0.1}, {Element Si: 0.1}, {Element Ge: 0.1}, {Element Te: 0.6}]","[Element Cr, Element Cu, Element Si, Element Ge, Element Te]",-43.19679099,Cr1Cu1Si1Ge1Te6,2.892,0,4,11,0,"[130.0, 128.0, 132.0, 137.0, 160.0]","[7.23, 7.1, 12.1, 13.6, 20.5]","[122.0, 112.00000000000001, 115.99999999999999, 121.0, 136.0]","[78.4, 46.5, 37.31, 39.43, 37.0]","[0.6659999999999999, 1.235, 1.3895211, 1.232712, 1.9708759999999999]","[24, 29, 14, 32, 52]",,"['Cr', 'Cu', 'Si', 'Ge', 'Te']","['Cr', 'Cu', 'Si', 'Ge', 'Te']","{'atomic_rad': 130.0, 'atomic_vol': 7.23, 'covalent_rad': 122.0, 'dipole': 78.4, 'eaffinity': 0.6659999999999999, 'num_electrons': 24}","{'atomic_rad': 128.0, 'atomic_vol': 7.1, 'covalent_rad': 112.00000000000001, 'dipole': 46.5, 'eaffinity': 1.235, 'num_electrons': 29}","{'atomic_rad': 132.0, 'atomic_vol': 12.1, 'covalent_rad': 115.99999999999999, 'dipole': 37.31, 'eaffinity': 1.3895211, 'num_electrons': 14}","{'atomic_rad': 137.0, 'atomic_vol': 13.6, 'covalent_rad': 121.0, 'dipole': 39.43, 'eaffinity': 1.232712, 'num_electrons': 32}","{'atomic_rad': 160.0, 'atomic_vol': 20.5, 'covalent_rad': 136.0, 'dipole': 37.0, 'eaffinity': 1.9708759999999999, 'num_electrons': 52}"
9,-0.983889098,"[{Element Cr: 0.1}, {Element Cu: 0.1}, {Element Si: 0.1}, {Element Te: 0.6}, {Element P: 0.1}]","[Element Cr, Element Cu, Element Si, Element Te, Element P]",-44.03363166,Cr1Cu1Si1Te6P1,2.825,1,4,11,0,"[130.0, 128.0, 132.0, 160.0, 128.0]","[7.23, 7.1, 12.1, 20.5, 17.0]","[122.0, 112.00000000000001, 115.99999999999999, 136.0, 111.00000000000001]","[78.4, 46.5, 37.31, 37.0, 24.93]","[0.6659999999999999, 1.235, 1.3895211, 1.9708759999999999, 0.746607]","[24, 29, 14, 52, 15]",,"['Cr', 'Cu', 'Si', 'P', 'Te']","['Cr', 'Cu', 'Si', 'Te', 'P']","{'atomic_rad': 130.0, 'atomic_vol': 7.23, 'covalent_rad': 122.0, 'dipole': 78.4, 'eaffinity': 0.6659999999999999, 'num_electrons': 24}","{'atomic_rad': 128.0, 'atomic_vol': 7.1, 'covalent_rad': 112.00000000000001, 'dipole': 46.5, 'eaffinity': 1.235, 'num_electrons': 29}","{'atomic_rad': 132.0, 'atomic_vol': 12.1, 'covalent_rad': 115.99999999999999, 'dipole': 37.31, 'eaffinity': 1.3895211, 'num_electrons': 14}","{'atomic_rad': 128.0, 'atomic_vol': 17.0, 'covalent_rad': 111.00000000000001, 'dipole': 24.93, 'eaffinity': 0.746607, 'num_electrons': 15}","{'atomic_rad': 160.0, 'atomic_vol': 20.5, 'covalent_rad': 136.0, 'dipole': 37.0, 'eaffinity': 1.9708759999999999, 'num_electrons': 52}"
