,Material,sign_MA,log_MA,sine coulomb matrix eig 0,sine coulomb matrix eig 1,sine coulomb matrix eig 2,sine coulomb matrix eig 3,sine coulomb matrix eig 4,sine coulomb matrix eig 5,X_rad,Abar_rad,dA_rad,Abar-X_rad,dAXbar_rad,ddAX_rad,X_dipole,Abar_dipole,dA_dipole,Abar-X_dipole,dAXbar_dipole,ddAX_dipole,X_nvalence,Abar_nvalence,dA_nvalence,Abar-X_nvalence,dAXbar_nvalence,ddAX_nvalence,X_nup,Abar_nup,dA_nup,Abar-X_nup,dAXbar_nup,ddAX_nup,X_num_d,Abar_num_d,dA_num_d,Abar-X_num_d,dAXbar_num_d,ddAX_num_d,X_volume,Abar_volume,dA_volume,Abar-X_volume,dAXbar_volume,ddAX_volume,X_ion_energy,Abar_ion_energy,dA_ion_energy,Abar-X_ion_energy,dAXbar_ion_energy,ddAX_ion_energy,X_electron_affinity,Abar_electron_affinity,dA_electron_affinity,Abar-X_electron_affinity,dAXbar_electron_affinity,ddAX_electron_affinity,X_electronegativity,Abar_electronegativity,dA_electronegativity,Abar-X_electronegativity,dAXbar_electronegativity,ddAX_electronegativity,Abar_SOCC,dA_SOCC,AXsumbar_rad
0,1T-Co1Pd1S4,-1,-8.260537498,4909.930909939194,1380.6924568707357,428.6680494652682,357.97657176422956,353.91319707980335,376.2724155439589,103,115.5,9,12.5,12.5,9.0,19.4,40.57,28.86,21.17,21.17,28.86,6,10.5,3,4.5,4.5,3,2,4.5,1,2.5,2.5,1,0,10.5,11,10.5,10.5,11,15.5,7.8,2.2,7.7,7.7,2.2,10.36001,8.108935,0.45585,2.251075,2.251075,0.45585,2.07710403,0.61212823,0.10025646,1.4649758,1.4649758,0.10025646,2.07710403,0.61212823,0.10025646,1.4649758,1.4649758,0.10025646,821.0,-1454.0,218.5
1,1T-Cr1Ag1S4,1,-6.346004629,5168.079025320388,1050.8364368053503,424.55725597512185,357.5585924246038,353.9131970747138,376.2724155439511,103,125.0,6,22.0,22.0,6.0,19.4,69.0,28.0,49.6,49.6,28.0,6,8.5,5,2.5,2.5,5,2,2.5,1,0.5,0.5,1,0,9.5,15,9.5,9.5,15,15.5,8.765,3.07,6.735,6.735,3.07,10.36001,7.171372,0.809724,3.188638,3.188638,0.809724,2.07710403,0.984,0.636,1.09310403,1.09310403,0.636,2.07710403,0.984,0.636,1.09310403,1.09310403,0.636,1106.5,-1617.0,228.0
2,1T-Cr1Au1S4,-1,-8.043820245,17929.124960592533,1052.0730365034403,427.128047525211,357.7625317529701,353.91319707603145,376.2724155439536,103,123.0,2,20.0,20.0,2.0,19.4,59.5,47.0,40.1,40.1,47.0,6,8.5,5,2.5,2.5,5,2,2.5,1,0.5,0.5,1,0,14.5,25,14.5,14.5,25,15.5,8.715,2.97,6.785,6.785,2.97,10.36001,7.9960315,2.459043,2.3639785,2.3639785,2.459043,2.07710403,1.487315,1.64263,0.58978903,0.821315,1.17957806,2.07710403,1.487315,1.64263,0.58978903,0.821315,1.17957806,2940.5,-5285.0,226.0
3,1T-Cr1Au1Se4,-1,-6.410103045,17972.768529787732,981.0848736104897,2689.2389195968735,2245.6823374704336,2214.7219002137367,2315.6877460038036,116,123.0,2,7.0,7.0,2.0,28.9,59.5,47.0,30.6,30.6,47.0,6,8.5,5,2.5,2.5,5,2,2.5,1,0.5,0.5,1,10,14.5,25,4.5,12.5,9,16.5,8.715,2.97,7.785,7.785,2.97,9.752392,7.9960315,2.459043,1.7563605,1.7563605,2.459043,2.02067,1.487315,1.64263,0.533355,0.821315,1.06671,2.02067,1.487315,1.64263,0.533355,0.821315,1.06671,2940.5,-5285.0,239.0
4,1T-Cr1Cd1Te4,-1,-7.081216207,997.8243344180037,7662.2552472380075,5081.144396149352,6323.669885875326,6206.877075789458,6443.046320416992,136,129.0,14,7.0,7.0,14.0,38.0,64.5,37.0,26.5,26.5,37.0,6,9.0,6,3.0,3.0,6,2,2.0,0,0.0,0.0,0,20,10.0,16,10.0,10.0,16,20.5,10.165,5.87,10.335,10.335,5.87,9.00966,7.880166,2.227312,1.129494,1.129494,2.227312,1.970876,0.333,0.666,1.637876,1.637876,0.666,1.970876,0.333,0.666,1.637876,1.637876,0.666,1152.5,-1709.0,265.0
5,1T-Cr1Co1S4,1,-10.30307,1397.2576361013064,1039.1350043045277,417.5291870305242,356.97212231431655,353.91319707001406,376.2724155439428,103,116.5,11,13.5,13.5,11.0,19.4,69.0,28.0,49.6,49.6,28.0,6,7.5,3,1.5,1.5,3,2,3.5,3,1.5,1.5,3,0,3.5,3,3.5,3.5,3,15.5,6.965,0.53,8.535,8.535,0.53,10.36001,7.32376,1.1145,3.03625,3.03625,1.1145,2.07710403,0.66412823,0.00374354,1.4129758,1.4129758,0.00374354,2.07710403,0.66412823,0.00374354,1.4129758,1.4129758,0.00374354,196.0,204.0,219.5
6,1T-Cr1Cu1Se4,1,-9.926142243,980.9735191234979,2825.867260671993,1518.1712679512761,2263.417721630555,2214.721900299965,2315.6877460043156,116,117.0,10,1.0,5.0,2.0,28.9,64.75,36.5,35.85,35.85,36.5,6,8.5,5,2.5,2.5,5,2,2.5,1,0.5,0.5,1,10,4.5,5,5.5,5.5,5,16.5,7.165,0.13,9.335,9.335,0.13,9.752392,7.246445,0.95987,2.505947,2.505947,0.95987,2.02067,0.9505,0.569,1.07017,1.07017,0.569,2.02067,0.9505,0.569,1.07017,1.07017,0.569,625.0,-654.0,233.0
7,1T-Cr1Hf1Se4,1,-7.165710279,14400.647506229985,981.0827675396666,2685.0547989798283,2245.2104179843036,2214.7219002102797,2315.6877460037913,116,137.0,30,21.0,21.0,30.0,28.9,93.0,20.0,64.1,64.1,20.0,6,5.0,2,1.0,1.0,2,2,1.0,2,1.0,1.0,2,10,11.0,18,1.0,9.0,2,16.5,10.415,6.37,6.085,6.085,6.37,9.752392,6.79579,0.05856,2.956602,2.956602,0.05856,2.02067,0.34,0.652,1.68067,1.68067,0.652,2.02067,0.34,0.652,1.68067,1.68067,0.652,1136.0,-1676.0,253.0
8,1T-Cr1Hg1Se4,1,-8.153540151,18521.368321319904,981.0851404337653,2689.7395888345277,2245.7389963901687,2214.7219002141424,2315.6877460038036,116,127.5,11,11.5,11.5,11.0,28.9,58.455,49.09,29.555,29.555,49.09,6,9.0,6,3.0,3.0,6,2,2.0,0,0.0,0.0,0,10,15.0,26,5.0,13.0,10,16.5,11.015,7.57,5.485,5.485,7.57,9.752392,8.602007,3.670994,1.150385,1.835497,2.30077,2.02067,0.333,0.666,1.68767,1.68767,0.666,2.02067,0.333,0.666,1.68767,1.68767,0.666,3349.0,-6102.0,243.5
9,1T-Cr1Hg1Te4,1,-7.018658907,18642.49879672824,997.9422423428579,7203.114680004538,6268.524804687839,6206.87707552674,6443.046320415535,136,127.5,11,8.5,8.5,11.0,38.0,58.455,49.09,20.455,24.545,40.91,6,9.0,6,3.0,3.0,6,2,2.0,0,0.0,0.0,0,20,15.0,26,5.0,13.0,10,20.5,11.015,7.57,9.485,9.485,7.57,9.00966,8.602007,3.670994,0.407653,1.835497,0.815306,1.970876,0.333,0.666,1.637876,1.637876,0.666,1.970876,0.333,0.666,1.637876,1.637876,0.666,3349.0,-6102.0,263.5
10,1T-Cr1Ir1Se4,1,-7.328488859,16904.529999209924,981.0843166791757,2688.173408826163,2245.5618976037063,2214.721900212862,2315.6877460038,116,122.0,0,6.0,6.0,0.0,28.9,68.5,29.0,39.6,39.6,29.0,6,7.5,3,1.5,1.5,3,2,3.5,3,1.5,1.5,3,10,13.5,23,3.5,11.5,7,16.5,7.885,1.31,8.615,8.615,1.31,9.752392,7.866765,2.20051,1.885627,1.885627,2.20051,2.02067,1.1149,0.8978,0.90577,0.90577,0.8978,2.02067,1.1149,0.8978,0.90577,0.90577,0.8978,1447.5,-2299.0,238.0
