elements,formula,id,class,dipole,atomic_e_neg,atomic_masses,atomic_num_e,atomic_rad,atomic_vdw_rad,atomic_vol,atomic_ionization,atomic_e_affinity,atomic_dipole_polarizability,atomic_cov_rad,atomoic_nvalence,atomic_hardness,weights,evac,evacdiff,dipz,efermi,gap,vbm,cbm,gap_dir,gap_dir_nosoc,gap_nosoc,workfunction,vbm_hse,cbm_hse,gap_dir_hse,gap_hse,ehull,hform,cell_area,spgnum,lgnum,emass_vb_dir1,emass_vb_dir2,emass_cb_dir1,emass_cb_dir2,alphax_lat,alphay_lat,alphaz_lat,alphax,alphay,alphaz,minhessianeig,alphax_el,alphay_el,alphaz_el,speed_of_sound_x,speed_of_sound_y,c_11,c_12,c_13,c_21,c_22,c_23,c_31,c_32,c_33,energy,free_energy,vbm_gw,cbm_gw,gap_dir_gw,gap_gw,mass,num_electron,avg_e_neg_pauling,num_atoms,num_e_avg,num_e_max_dif,num_e_std,vdw_rad_avg,vdw_rad_max_dif,vdw_rad_std,atomic_rad_avg,atomic_rad_max_dif,atomic_rad_std,atomic_vol_avg,atomic_vol_max_dif,atomic_vol_std,e_affinity_avg,e_affinity_max_dif,e_affinity_std,e_neg_avg,e_neg_max_dif,e_neg_std,dipole_polarizability_avg,dipole_polarizability_max_dif,dipole_polarizability_std,cov_rad_avg,cov_rad_max_dif,cov_rad_std,nvalence_avg,nvalence_max_dif,nvalence_std,hardness_avg,hardness_max_dif,hardness_std,ionization_avg,ionization_max_dif,ionization_std,dipole_avg,ionization_total,lattice,positions,numbers,sine coulomb matrix eig 0,sine coulomb matrix eig 1,sine coulomb matrix eig 2,sine coulomb matrix eig 3,sine coulomb matrix eig 4,sine coulomb matrix eig 5,sine coulomb matrix eig 6,sine coulomb matrix eig 7,composition,pc1_soap,pc2_soap,SHG 0.4-0.9eV_x,SHG 0.4-0.9eV_y,SHG 0.9 -1.6eV_x,SHG 0.9 -1.6eV_y,SHG 1.6-2.1eV_x,SHG 1.6-2.1eV_y,Direction
"['Ag', 'Cl']",Ag2Cl2,11321,,"[-1.65401982, 0.694953074, -0.00037010936]","[1.93, 3.16]","[107.8682, 35.45]","[47, 17]","[160.0, 100.0]","[211.0, 175.0]","[10.3, 18.7]","[7.576234, 12.96763]","[1.3019999999999998, 3.612725]","[55.0, 14.6]","[145.0, 102.0]","[11, 7]","[3.1371170000000004, 4.677452499999999]","[2, 2]",2.633442559,-0.003977076,-0.000370109,-2.402768589,1.568728877,-3.187133027,-1.61840415,1.568728877,1.675930495,1.675930495,5.036211148,-4.353419638,-1.302936075,3.050483563,3.050483563,0.003434606,-0.421051111,16.83944675,164,72,-0.600267713,-0.583343997,0.334380594,0.33710584,1.428121015,1.389262216,0.196549304,2.954231734,2.920499265,0.528431158,-2.68E-15,1.526110719,1.531237049,0.331881854,3225.8603,3277.945602,29.41329806,26.18465997,0.043585892,25.17695001,30.37079054,0.025233837,-4.47E-05,0.001465798,6.058098876,-10.93398141,-10.93398141,,,,,286.6424,128,2.545,4,32,30,15,193,36,18,130,60,30,14.5,8.4,4.2,2.545,2.310725,1.1553625,2.4573625,1.23,0.615,34.8,40.4,20.2,123.5,43,21.5,9,4,2,3.90728475,1.5403355,0.77016775,10.271932,5.391396,2.695698,-0.319812285,41.087728,"[[4.400284547655418, 3.3710174129118634e-18, 0.0], [-2.200142271314197, 3.8268995035596953, 0.0], [-2.1168993678640964e-17, 0.0, 18.85580293064]]","[[0.002289728040317014, 0.002600473283042633, 7.785436650843921], [-0.002221888878099079, 2.5486090291147967, 11.07229319256252], [-0.002281323939279134, 0.00476792965114078, 10.762938843176261], [0.002384981589540815, 2.54642277287763, 8.093485111180188]]","[17, 17, 47, 47]",7859.473169,8401.004313,-2273.341005,-2784.859418,0,0,0,0,Ag2 Cl2,25.38795665,-6.736034237,0.879,0.00407,1.436,0.0077,1.706,0.00506,yyz = yzy
"['Ag', 'F']",Ag2F2,13419,,"[4.07866497, 1.00485011, 0.00198761176]","[1.93, 3.98]","[107.8682, 18.998403163]","[47, 9]","[160.0, 50.0]","[211.0, 147.0]","[10.3, 17.1]","[7.576234, 17.42282]","[1.3019999999999998, 3.4011897000000006]","[55.0, 3.74]","[145.0, 56.99999999999999]","[11, 7]","[3.1371170000000004, 7.010815150000001]","[2, 2]",2.514573389,0.030224163,0.001987612,-3.149847722,0.497611946,-3.398653695,-2.901041749,1.408807852,1.485892275,0.529784247,5.664421111,-4.717538582,-2.907809087,2.93307874,1.809729495,0.048307299,-0.966185267,11.89977995,1,1,-3.466989371,-1.0850533,0.460520374,1.655809314,31.08346614,5.715175332,0.344714237,32.57541872,7.319887258,0.656857627,-0.271446309,1.491952578,1.604711926,0.31214339,2672.579267,5138.445409,25.28998999,20.35704693,4.010965057,23.84473426,93.48694357,26.39162838,7.813440397,32.69680039,11.26589117,-12.71764748,-12.71769934,,,,,253.7332064,112,2.955,4,28,38,19,179,64,32,105,110,55,13.7,6.8,3.4,2.955,2.0991897,1.04959485,2.35159485,2.05,1.025,29.37,51.26,25.63,101,88,44,9,4,2,5.073966075,3.87369815,1.936849075,12.499527,9.846586,4.923293,1.695167564,49.998108,"[[3.07818182421544, 6.846881645562454e-17, 0.0], [-1.5390909103494126, 3.8658469939069824, 0.0], [-7.854013427212182e-15, 0.0, 18.85580293064]]","[[0.11039480270520044, -0.3889408521229743, 7.856379606776837], [-0.2493538284381485, 3.017907551135112, 10.987928647436148], [-0.6634432226838282, 0.9529173164042757, 10.65898413845314], [0.8057445339818406, 1.573613005274334, 8.211019303399448]]","[9, 9, 47, 47]",88.56512497,106.0851117,5215.10992,5089.994329,0,0,0,0,Ag2 F2,-11.57106631,-8.826732023,,,,,,,
"['Ag', 'Se']",Ag2Se2,3979,,"[3.33577531e-08, -0.00729784469, 5.34281332e-05]","[1.93, 2.55]","[107.8682, 78.971]","[47, 34]","[160.0, 115.0]","[211.0, 190.0]","[10.3, 16.5]","[7.576234, 9.752392]","[1.3019999999999998, 2.02067]","[55.0, 28.9]","[145.0, 120.0]","[11, 6]","[3.1371170000000004, 3.865861]","[2, 2]",2.42069234,0.00042478,5.34E-05,-2.959647094,0.750240019,-3.334767104,-2.584527085,1.191079809,1.214441162,0.869506517,5.380339434,-3.807833765,-2.629159473,1.598815543,1.178674293,0.072058682,0.022185046,22.75978199,10,14,-1.035567992,-0.922476273,0.327200126,2.323228079,0.577623717,0.708381342,7.808442337,6.495040542,2.808644323,8.130880093,-1.67E-11,5.917416824,2.100262981,0.322437755,2904.747717,1352.370149,23.00360096,0.335471973,7.97E-07,1.014455217,4.986205109,3.53E-07,0,0,2.922654394,-12.55645557,-12.55646643,,,,,373.6564,162,2.24,4,40.5,13,6.5,200.5,21,10.5,137.5,45,22.5,13.4,6.2,3.1,2.24,0.71867,0.359335,1.661335,0.62,0.31,41.95,26.1,13.05,132.5,25,12.5,8.5,5,2.5,3.501489,0.728744,0.364372,8.664313,2.176158,1.088079,-0.002414794,34.657252,"[[3.756088740328832, -1.891237087336516e-18, 0.0], [-2.3046513663144567e-17, 6.059436708615192, 0.0], [1.081860389052437e-17, 0.0, 17.638184619999997]]","[[5.415537300282922e-18, 0.00021425433792831723, 8.819372175916078], [-8.898384244901e-17, 2.0593401946303906, 10.199069887019443], [1.878044375526853, 3.0292023513176174, 8.818896651491707], [-2.362287237518419e-17, 3.999103251735221, 7.439030807446983]]","[47, 34, 47, 34]",7371.686732,2935.495622,2440.261612,2294.746261,0,0,0,0,Ag2 Se2,-13.55881193,-11.78815432,,,,,,,
"['Ag', 'Te']",Ag2Te2,6077,,"[4.03621773e-08, -0.00103075475, 3.67780226e-05]","[1.93, 2.1]","[107.8682, 127.6]","[47, 52]","[160.0, 140.0]","[211.0, 206.0]","[10.3, 20.5]","[7.576234, 9.00966]","[1.3019999999999998, 1.9708759999999999]","[55.0, 38.0]","[145.0, 138.0]","[11, 6]","[3.1371170000000004, 3.5193920000000003]","[2, 2]",2.458267765,0.000258322,3.68E-05,-2.314393379,0.477229062,-2.55300791,-2.075778848,0.977213992,1.011929621,0.663120912,4.772661145,-2.863489813,-2.107725108,1.258941219,0.755764705,0.102474166,0.059244309,25.76252823,10,14,-1.146524281,-0.599878879,0.274552368,2.397554322,0.379614828,1.239998018,15.12931717,8.333813488,3.394660815,15.49083399,-8.95E-13,7.95419866,2.154662798,0.361516819,2660.107814,1068.321995,21.47936051,-0.706444612,0.013396598,-0.492252368,3.464393456,0.011963369,0,0,1.42820112,-11.85223072,-11.85230058,,,,,470.9364,198,2.015,4,49.5,5,2.5,208.5,5,2.5,150,20,10,15.4,10.2,5.1,2.015,0.668876,0.334438,1.636438,0.17,0.085,46.5,17,8.5,141.5,7,3.5,8.5,5,2.5,3.3282545,0.382275,0.1911375,8.292947,1.433426,0.716713,-0.000331312,33.171788,"[[4.082972048740981, -1.0675986511577548e-19, 0.0], [1.9914748252915223e-18, 6.309748859675715, 0.0], [1.9321576678255534e-18, 0.0, 17.81738206]]","[[9.66018066827706e-19, 2.258944264872565e-05, 8.909059730269647], [1.6815138743379244e-16, 2.18378939922483, 10.391624715100651], [2.041486030870375, 3.154477013106481, 8.908584902026618], [5.2532859896407706e-18, 4.124985359792953, 7.425517345869321]]","[47, 52, 47, 52]",11455.26641,5998.99519,4301.819313,1682.94043,0,0,0,0,Ag2 Te2,-12.76373686,-10.32808445,,,,,,,
"['Al', 'Br']",Al2Br6,2026,,"[4.71702907e-05, -2.7233782e-05, 8.69919144e-10]","[1.61, 2.96]","[26.9815385, 79.904]","[13, 35]","[125.0, 115.0]","[184.0, 185.0]","[10.0, 23.5]","[5.9857684, 11.81381]","[0.43283, 3.3635882000000006]","[57.8, 21.0]","[121.0, 120.0]","[3, 7]","[2.7764692, 4.2251109]","[2, 6]",2.60653451,3.99E-09,8.70E-10,-2.867436374,2.504449208,-4.119660978,-1.615211769,2.504449208,2.683826282,2.594845244,5.473970884,-4.871611727,-1.278647663,3.592964064,3.592964064,0.203702933,-0.925202116,39.47849872,189,79,-1.371600135,-1.341238738,0.749655167,0.749657133,5.266968338,5.874558961,0.063299482,6.493372459,7.100963082,0.404894233,-2.787837575,1.226404121,1.226404121,0.34159475,3033.541204,3053.600243,20.64575395,-6.850283504,7.53E-05,-6.983690299,20.91969333,6.06E-05,-1.26E-05,-1.90E-06,28.0912024,-24.38523977,-24.38523977,,,,,533.3870772,236,2.6225,8,29.5,22,9.526279442,184.75,1,0.433012702,117.5,10,4.330127019,20.125,13.5,5.845671476,2.6225,2.9307582,1.269055527,2.63089865,1.35,0.584567148,30.2,36.8,15.93486743,120.25,1,0.433012702,6,4,1.732050808,3.862950475,1.4486417,0.627280257,10.3567996,5.8280416,2.52361604,6.65E-06,82.8543968,"[[6.751728943635809, 2.510591332191008e-18, 0.0], [-3.3758644718179056, 5.847168784655283, 0.0], [0.0, 0.0, 18.2324473826495]]","[[3.3758644718179056, 1.9490562615517615, 9.116657045543258], [3.3219424564749e-15, 3.898112523103523, 9.115790337129145], [2.922025794781866, 2.7513667090464033e-06, 7.499746273286141], [1.914853957180435, 3.316618840177369, 7.499746273286141], [-1.4610152801443932, 2.5305471931111843, 7.499746273286141], [2.922025794172162, -2.046623878892135e-06, 10.732701110418963], [1.9148498023035603, 3.316621239700701, 10.732701110418963], [-1.4610111246578126, 2.530549591578481, 10.732701110418963]]","[13, 13, 35, 35, 35, 35, 35, 35]",220.0286677,250.5588651,2999.064379,2573.265484,2454.063139,2404.858927,2385.659976,2420.458425,Al2 Br6,-29.91437073,255.2542012,,,,,,,
"['Al', 'Cl']",Al2Cl6,3075,,"[0.000296234163, -0.000171030873, 9.08730151e-11]","[1.61, 3.16]","[26.9815385, 35.45]","[13, 17]","[125.0, 100.0]","[184.0, 175.0]","[10.0, 18.7]","[5.9857684, 12.96763]","[0.43283, 3.612725]","[57.8, 14.6]","[121.0, 102.0]","[3, 7]","[2.7764692, 4.677452499999999]","[2, 6]",2.62665913,4.68E-10,9.09E-11,-3.067346854,3.841743476,-4.988218592,-1.146475116,3.847708228,3.848310646,3.844730605,5.694005984,-5.977044006,-0.705631453,5.288757009,5.271412553,0.18991857,-1.340328017,35.11468712,189,79,-2.651265436,-2.506849887,0.79445791,0.794792809,6.272659453,4.270104754,0.084587966,7.133040536,5.130485837,0.382088017,-2.362941508,0.860381083,0.860381083,0.297500051,4546.204163,4554.071186,26.06279836,-7.737309696,-1.579651449,-7.895478473,26.15307765,-1.649927696,-0.00013854,-9.07E-05,33.48537637,-28.90936054,-28.90936054,,,,,266.6810772,128,2.7725,8,16,4,1.732050808,177.25,9,3.897114317,106.25,25,10.82531755,16.525,8.7,3.767210506,2.7725,3.179895,1.376934926,2.81775125,1.55,0.671169688,25.4,43.2,18.70614872,106.75,19,8.227241336,6,4,1.732050808,4.202206675,1.9009833,0.823149915,11.2221646,6.9818616,3.023234756,4.17E-05,89.7773168,"[[6.367648555276221, -2.9227226693411206e-18, 0.0], [-3.183824277638111, 5.514545411240486, 0.0], [-5.3147759831228005e-21, 0.0, 17.991940165702093]]","[[3.183824277638109, 1.8381818037468296, 8.995928789805872], [9.93523772426504e-16, 3.676363607493659, 8.996011375634394], [2.9225129738869966, -8.06957813927435e-06, 7.50106675071171], [1.7225608022349241, 2.9835789677538327, 7.50106675071171], [-1.461249498483861, 2.5309745130648595, 7.50106675071171], [2.922512974230275, 1.0839213469487467e-05, 10.490873414664547], [1.7225771775571617, 2.983569513060672, 10.490873414664547], [-1.4612658741493765, 2.5309650589662858, 10.490873414664547]]","[13, 13, 17, 17, 17, 17, 17, 17]",184.2336263,287.1921075,8912.847687,8707.395568,8600.546708,-7842.653691,-7842.656197,-7842.658657,Al2 Cl6,313.7102003,16.24198274,,,,,,,
"['Al', 'I']",Al2I6,5173,,"[-1.21367738e-05, 7.00716799e-06, -1.73868619e-09]","[1.61, 2.66]","[26.9815385, 126.90447]","[13, 53]","[125.0, 140.0]","[184.0, 198.0]","[10.0, 25.7]","[5.9857684, 10.45126]","[0.43283, 3.0590368]","[57.8, 32.9]","[121.0, 139.0]","[3, 7]","[2.7764692, 3.6961116]","[2, 6]",2.969600941,-6.82E-09,-1.74E-09,-2.181213269,0.799129542,-2.58077804,-1.781648498,0.799129542,1.167411386,1.167411386,5.15081421,-3.115979952,-1.562028955,1.553950997,1.553950997,0.258712975,-0.423666348,46.12049323,189,79,-0.585759462,-0.579611023,0.709913623,0.710011333,6.699820593,6.008835489,0.082288973,8.616850065,7.925864961,0.497541481,-3.222714142,1.917029473,1.917029473,0.415252507,2414.953459,2332.253166,17.12134996,-4.766861348,0.001917522,-4.159032382,15.96878435,0.00535212,2.04E-15,-1.58E-15,21.67623339,-19.7360543,-19.73605546,,,,,815.3898972,344,2.3975,8,43,40,17.32050808,194.5,14,6.062177826,136.25,15,6.495190528,21.775,15.7,6.79829942,2.3975,2.6262068,1.137180902,2.4024851,1.05,0.454663337,39.125,24.9,10.78201628,134.5,18,7.794228634,6,4,1.732050808,3.466201,0.9196424,0.39821684,9.3348871,4.4654916,1.933614583,-1.71E-06,74.6790968,"[[7.297626899767509, 1.7557992244940796e-18, 0.0], [-3.6488134498837552, 6.319930282539338, 0.0], [0.0, 0.0, 18.56744973906439]]","[[3.648813449883756, 2.1066434275131103, 9.283598067919215], [2.0409800662163366e-15, 4.213286855026221, 9.28385167114509], [2.9782215280514106, 4.620836250951917e-05, 7.5], [2.159742703473867, 3.7406916769678467, 7.5], [-1.4891507816414993, 2.579192397208986, 7.5], [2.9782215280514106, -4.620836250949519e-05, 11.06744973906439], [2.159662668242245, 3.7407378853303457, 11.06744973906439], [-1.4890707464098836, 2.579238605571487, 11.06744973906439]]","[13, 13, 53, 53, 53, 53, 53, 53]",219.3683919,249.6469775,7757.740523,7272.721039,6422.766268,6419.851604,6696.321503,6679.2074,Al2 I6,-17.47656877,-21.47655889,,,,,,,
"['Al', 'O']",Al2O2,13420,,"[3.56176989, -2.05638881, -1.63164368e-14]","[1.61, 3.44]","[26.9815385, 15.999]","[13, 8]","[125.0, 60.0]","[184.0, 152.0]","[10.0, 14.0]","[5.9857684, 13.618054]","[0.43283, 1.4611135]","[57.8, 5.3]","[121.0, 66.0]","[3, 6]","[2.7764692, 6.0784702500000005]","[2, 2]",3.721438321,-3.85E-13,-1.63E-14,-0.623880458,1.315091028,-1.281425972,0.033665056,1.528461101,1.53069292,1.316596456,4.34531878,-1.656667199,0.192511581,2.101360096,1.84917878,0.237293156,-2.258125332,7.670806125,187,78,-0.395141528,-0.39513568,0.250405145,1.137739104,1.471564284,1.459338402,0.10735332,5.06078156,5.048555679,0.47253851,-1.70E-14,3.589217276,3.589217276,0.36518519,9725.836527,9722.204043,176.0207485,66.18559469,-0.005684267,66.1540722,175.8892898,-0.007307882,0,0,112.1468816,-26.75719838,-26.75719841,-2.174075528,0.394380817,2.76563393,2.568456344,85.9618772,42,2.525,4,10.5,5,2.5,168,32,16,92.5,65,32.5,12,4,2,2.525,1.0282835,0.51414175,0.94697175,1.83,0.915,31.55,52.5,26.25,93.5,55,27.5,4.5,3,1.5,4.427469725,3.30200105,1.651000525,9.8019112,7.6322856,3.8161428,0.501793693,39.2076448,"[[2.976152543480919, 2.2606134835122602e-18, 0.0], [-1.4880762717404594, 2.5774237081921467, 0.0], [0.0, 0.0, 18.95869395006515]]","[[1.4880762717404592, 0.8591412360640488, 8.16810825580915], [1.4880762717404592, 0.8591412360640488, 10.790585694256029], [5.5453386229988046e-18, 1.7182824721280976, 7.5], [4.1699314403367384e-18, 1.7182824721280976, 11.45869395006515]]","[13, 13, 8, 8]",242.3493828,230.2516264,179.0772002,-33.16398322,0,0,0,0,Al2 O2,-11.11509809,-7.639676581,0.816,5.914,0.984,5.132,1.664,4.081,yyy = -xxy = -yxx = -xyx
"['Al', 'S']",Al2S2,1882,,"[1.09843498, -0.634181734, 2.00121954e-14]","[1.61, 2.58]","[26.9815385, 32.06]","[13, 16]","[125.0, 100.0]","[184.0, 180.0]","[10.0, 15.5]","[5.9857684, 10.36001]","[0.43283, 2.07710403]","[57.8, 19.4]","[121.0, 105.0]","[3, 6]","[2.7764692, 4.141452985000001]","[2, 2]",3.868690535,3.26E-13,2.00E-14,-1.295118864,2.085252661,-2.337745195,-0.252492534,2.727777756,2.727996402,2.08692118,5.163809399,-2.877680784,0.002914468,3.554753822,2.880595253,0.004916328,-0.885689924,11.12417716,187,78,-5.616622731,-1.707685342,0.41225139,0.965338585,1.689745298,1.706708774,0.040522501,4.793378417,4.810341893,0.522777571,-3.34E-15,3.103633119,3.103633119,0.482255069,6935.277652,6939.571797,84.78061457,22.16568515,-0.000971082,21.96007481,84.88563503,-0.001023863,0,0,63.47758404,-19.17506428,-19.17506428,-3.64438606,0.129891792,4.38843413,3.774277852,118.0930772,58,2.095,4,14.5,3,1.5,182,4,2,112.5,25,12.5,12.75,5.5,2.75,2.095,1.64427403,0.822137015,1.254967015,0.97,0.485,38.6,38.4,19.2,113,16,8,4.5,3,1.5,3.458961093,1.364983785,0.682491893,8.1728892,4.3742416,2.1871208,0.154751082,32.6915568,"[[3.584005211768305, 1.9082760849813474e-19, 0.0], [-1.7920026058841525, 3.1038395606871783, 0.0], [0.0, 0.0, 19.736528799005836]]","[[1.7920026058841523, 1.034613186895726, 8.5691806254429], [1.7920026058841523, 1.034613186895726, 11.167348173562955], [-1.141523389400119e-17, 2.069226373791452, 7.5], [-1.0875187870490216e-17, 2.069226373791452, 12.236528799005836]]","[13, 13, 16, 16]",431.3465089,398.0500106,208.0653336,210.0658655,0,0,0,0,Al2 S2,-10.80982062,-7.07827403,,,,,,,
"['Al', 'Se']",Al2Se2,3980,,"[0.331333544, -0.191295511, 2.12540156e-14]","[1.61, 2.55]","[26.9815385, 78.971]","[13, 34]","[125.0, 115.0]","[184.0, 190.0]","[10.0, 16.5]","[5.9857684, 9.752392]","[0.43283, 2.02067]","[57.8, 28.9]","[121.0, 120.0]","[3, 6]","[2.7764692, 3.865861]","[2, 2]",3.819684973,3.11E-13,2.13E-14,-1.00715432,1.997465295,-2.005886968,-0.008421672,2.644882649,2.651033198,2.012051484,4.826839293,-2.493501737,0.227079063,3.435133317,2.7205808,0,-0.717202474,12.35920194,187,78,-5.111992656,-1.869024937,0.406032984,1.476911437,1.741576144,1.741245072,0.035125614,5.372195283,5.37186421,0.551885913,-3.31E-14,3.630619138,3.630619138,0.516760299,5023.093786,5050.680155,71.83607549,19.36154957,-0.000157282,18.80092852,72.62727639,-6.29E-05,0,0,54.56348427,-17.3105875,-17.3105875,-3.212482917,0.324781136,4.205609647,3.537264053,211.8830772,94,2.08,4,23.5,21,10.5,187,6,3,120,10,5,13.25,6.5,3.25,2.08,1.58784,0.79392,1.22675,0.94,0.47,43.35,28.9,14.45,120.5,1,0.5,4.5,3,1.5,3.3211651,1.0893918,0.5446959,7.8690802,3.7666236,1.8833118,0.046679344,31.4763208,"[[3.7777211559205095, -5.992738187208477e-19, 0.0], [-1.8888605779602547, 3.2716024894410753, 0.0], [-5.614404159534885e-21, 0.0, 19.9127456967699]]","[[1.8888605779602547, 1.0905341631470251, 8.66244660691683], [1.8888605779602547, 1.0905341631470251, 11.250299089853026], [-9.552456011555663e-18, 2.1810683262940502, 7.494967274080562], [4.050673306336749e-19, 2.1810683262940502, 12.417778422689334]]","[13, 13, 34, 34]",2903.401716,1836.283741,230.5836144,238.7137056,0,0,0,0,Al2 Se2,-11.2092373,-7.709562101,0.891,0.195,1.584,2.273,2.064,2.835,yyy = -xxy = -yxx = -xyx
